figure_key,series,seq,source,draw_index,x_pt,y_pt,x_px600,y_px600,marker_w_pt,marker_h_pt,deflection_in,load_kips
report_fig5-20,DBLNB-30BS_center,1,markers,77,175.83,272.94,1465.3,2274.5,5.22,4.56,0.016,-0.019
report_fig5-20,DBLNB-30BS_center,2,markers,82,175.83,272.94,1465.3,2274.5,5.22,4.56,0.016,-0.019
report_fig5-20,DBLNB-30BS_center,3,markers,87,176.55,269.55,1471.3,2246.2,5.22,5.22,0.0392,4.594
report_fig5-20,DBLNB-30BS_center,4,markers,92,178.05,265.05,1483.8,2208.7,5.22,5.22,0.0878,10.718
report_fig5-20,DBLNB-30BS_center,5,markers,97,179.55,262.05,1496.3,2183.7,5.22,5.22,0.1363,14.8
report_fig5-20,DBLNB-30BS_center,6,markers,102,178.8,262.05,1490.0,2183.7,5.28,5.22,0.112,14.8
report_fig5-20,DBLNB-30BS_center,7,markers,107,180.3,259.05,1502.5,2158.7,5.28,5.22,0.1605,18.883
report_fig5-20,DBLNB-30BS_center,8,markers,112,181.05,255.3,1508.8,2127.5,5.22,5.28,0.1848,23.986
report_fig5-20,DBLNB-30BS_center,9,markers,117,182.55,250.05,1521.3,2083.7,5.22,5.22,0.2333,31.13
report_fig5-20,DBLNB-30BS_center,10,markers,122,183.3,247.8,1527.5,2065.0,5.28,5.28,0.2576,34.192
report_fig5-20,DBLNB-30BS_center,11,markers,127,184.05,244.05,1533.8,2033.7,5.22,5.22,0.2818,39.295
report_fig5-20,DBLNB-30BS_center,12,markers,132,185.55,240.3,1546.3,2002.5,5.22,5.28,0.3304,44.398
report_fig5-20,DBLNB-30BS_center,13,markers,137,187.05,236.55,1558.8,1971.2,5.22,5.22,0.3789,49.501
report_fig5-20,DBLNB-30BS_center,14,markers,142,187.05,239.55,1558.8,1996.2,5.22,5.22,0.3789,45.419
report_fig5-20,DBLNB-30BS_center,15,markers,147,188.55,229.05,1571.3,1908.7,5.22,5.22,0.4274,59.707
report_fig5-20,DBLNB-30BS_center,16,markers,152,190.05,226.05,1583.8,1883.7,5.22,5.22,0.4759,63.79
report_fig5-20,DBLNB-30BS_center,17,markers,157,190.05,225.3,1583.8,1877.5,5.22,5.28,0.4759,64.811
report_fig5-20,DBLNB-30BS_center,18,markers,162,191.55,221.55,1596.3,1846.2,5.22,5.22,0.5245,69.914
