figure,specimen,row_px1200,x_pt,y_pt,run_width_px,slip_in,load_kips
Fig. 3.15,DBLNB-05ST,1163,261.95,479.81,149,0.16671,33.408
Fig. 3.15,DBLNB-05ST,1164,261.86,479.87,150,0.16651,33.39
Fig. 3.15,DBLNB-05ST,1165,261.77,479.93,151,0.16631,33.373
Fig. 3.15,DBLNB-05ST,1166,261.68,479.99,152,0.16612,33.355
Fig. 3.15,DBLNB-05ST,1167,261.62,480.05,152,0.16598,33.337
Fig. 3.15,DBLNB-05ST,1168,261.56,480.11,154,0.16585,33.319
Fig. 3.15,DBLNB-05ST,1169,261.5,480.17,154,0.16572,33.302
Fig. 3.15,DBLNB-05ST,1170,261.44,480.23,154,0.16559,33.284
Fig. 3.15,DBLNB-05ST,1171,261.35,480.29,153,0.16539,33.266
Fig. 3.15,DBLNB-05ST,1172,261.29,480.35,153,0.16526,33.248
Fig. 3.15,DBLNB-05ST,1173,261.23,480.41,153,0.16513,33.231
Fig. 3.15,DBLNB-05ST,1174,261.14,480.47,152,0.16493,33.213
Fig. 3.15,DBLNB-05ST,1175,261.08,480.53,152,0.1648,33.195
Fig. 3.15,DBLNB-05ST,1176,260.99,480.59,151,0.1646,33.178
Fig. 3.15,DBLNB-05ST,1177,260.9,480.65,150,0.16441,33.16
Fig. 3.15,DBLNB-05ST,1178,260.78,480.71,148,0.16414,33.142
Fig. 3.15,DBLNB-05ST,1179,260.66,480.77,146,0.16388,33.124
Fig. 3.15,DBLNB-05ST,1180,260.51,480.83,143,0.16355,33.107
Fig. 3.15,DBLNB-05ST,1181,260.42,480.89,142,0.16336,33.089
Fig. 3.15,DBLNB-05ST,1182,260.33,480.95,143,0.16316,33.071
Fig. 3.15,DBLNB-05ST,1183,260.27,481.01,143,0.16303,33.054
Fig. 3.15,DBLNB-05ST,1184,260.21,481.07,143,0.1629,33.036
Fig. 3.15,DBLNB-05ST,1185,260.15,481.13,143,0.16276,33.018
Fig. 3.15,DBLNB-05ST,1186,260.09,481.19,143,0.16263,33.0
Fig. 3.15,DBLNB-05ST,1187,260.03,481.25,143,0.1625,32.983
Fig. 3.15,DBLNB-05ST,1188,259.97,481.31,143,0.16237,32.965
Fig. 3.15,DBLNB-05ST,1189,259.91,481.37,143,0.16224,32.947
Fig. 3.15,DBLNB-05ST,1190,259.85,481.43,143,0.16211,32.93
Fig. 3.15,DBLNB-05ST,1191,259.79,481.49,143,0.16198,32.912
Fig. 3.15,DBLNB-05ST,1192,259.73,481.55,143,0.16184,32.894
Fig. 3.15,DBLNB-05ST,1193,259.61,481.61,145,0.16158,32.876
Fig. 3.15,DBLNB-05ST,1194,259.46,481.67,148,0.16125,32.859
Fig. 3.15,DBLNB-05ST,1195,259.34,481.73,148,0.16099,32.841
Fig. 3.15,DBLNB-05ST,1196,259.25,481.79,149,0.16079,32.823
Fig. 3.15,DBLNB-05ST,1197,259.13,481.85,149,0.16053,32.805
Fig. 3.15,DBLNB-05ST,1198,259.01,481.91,149,0.16027,32.788
Fig. 3.15,DBLNB-05ST,1199,258.92,481.97,148,0.16007,32.77
Fig. 3.15,DBLNB-05ST,1200,258.8,482.03,148,0.15981,32.752
Fig. 3.15,DBLNB-05ST,1201,258.65,482.09,145,0.15948,32.735
Fig. 3.15,DBLNB-05ST,1202,258.56,482.15,144,0.15928,32.717
Fig. 3.15,DBLNB-05ST,1203,258.47,482.21,143,0.15908,32.699
Fig. 3.15,DBLNB-05ST,1204,258.41,482.27,143,0.15895,32.681
Fig. 3.15,DBLNB-05ST,1205,258.35,482.33,143,0.15882,32.664
