figure_key,series,seq,source,draw_index,x_pt,y_pt,x_px600,y_px600,marker_w_pt,marker_h_pt,deflection_in,load_kips
report_fig5-14,DBLNB-30BS_center,45,markers,249,242.43,228.66,2020.2,1905.5,6.78,6.72,2.1744,192.007
report_fig5-14,DBLNB-30BS_center,46,markers,254,246.21,224.91,2051.8,1874.2,6.78,6.78,2.2963,197.321
report_fig5-14,DBLNB-30BS_center,47,markers,259,246.21,227.16,2051.8,1893.0,6.78,6.72,2.2963,194.133
report_fig5-14,DBLNB-30BS_center,48,markers,264,247.71,224.16,2064.3,1868.0,6.78,6.72,2.3447,198.384
report_fig5-14,DBLNB-30BS_center,49,markers,269,247.71,224.16,2064.3,1868.0,6.78,6.72,2.3447,198.384
report_fig5-14,DBLNB-30BS_center,50,markers,274,249.93,221.16,2082.7,1843.0,6.78,6.72,2.4163,202.636
report_fig5-14,DBLNB-30BS_center,51,markers,279,254.46,218.16,2120.5,1818.0,6.72,6.72,2.5624,206.888
report_fig5-14,DBLNB-30BS_center,52,markers,284,260.49,215.16,2170.8,1793.0,6.78,6.72,2.7569,211.139
report_fig5-14,DBLNB-30BS_center,53,markers,289,267.24,212.91,2227.0,1774.2,6.72,6.78,2.9747,214.328
report_fig5-14,DBLNB-30BS_center,54,markers,294,277.02,210.66,2308.5,1755.5,6.72,6.72,3.2901,217.517
report_fig5-14,DBLNB-30BS_center,55,markers,299,284.55,206.13,2371.3,1717.8,6.78,6.78,3.533,223.937
report_fig5-14,DBLNB-30BS_center,56,markers,304,284.55,206.13,2371.3,1717.8,6.78,6.78,3.533,223.937
report_fig5-14,DBLNB-30BS_center,57,markers,309,292.05,203.13,2433.8,1692.8,6.78,6.78,3.7749,228.189
report_fig5-14,DBLNB-30BS_center,58,markers,314,300.33,201.63,2502.8,1680.3,6.78,6.78,4.042,230.315
report_fig5-14,DBLNB-30BS_center,59,markers,319,307.83,201.63,2565.3,1680.3,6.78,6.78,4.2839,230.315
report_fig5-14,DBLNB-30BS_center,60,markers,324,317.61,264.69,2646.8,2205.8,6.78,6.78,4.5994,140.944
report_fig5-14,DBLNB-30BS_center,61,markers,329,317.61,265.44,2646.8,2212.0,6.78,6.72,4.5994,139.881
report_fig5-14,DBLNB-30BS_center,62,markers,334,317.61,265.44,2646.8,2212.0,6.78,6.72,4.5994,139.881
report_fig5-14,DBLNB-30BS_center,63,markers,339,323.64,257.19,2697.0,2143.3,6.72,6.78,4.7939,151.573
report_fig5-14,DBLNB-30BS_center,64,markers,344,330.39,251.19,2753.2,2093.3,6.78,6.78,5.0116,160.077
report_fig5-14,DBLNB-30BS_center,65,markers,349,330.39,251.19,2753.2,2093.3,6.78,6.78,5.0116,160.077
report_fig5-14,DBLNB-30BS_center,66,markers,354,338.67,248.19,2822.2,2068.3,6.78,6.78,5.2787,164.328
report_fig5-14,DBLNB-30BS_center,67,markers,359,338.67,248.91,2822.2,2074.2,6.78,6.78,5.2787,163.308
report_fig5-14,DBLNB-30BS_center,68,markers,364,362.01,245.91,3016.7,2049.2,6.78,6.78,6.0315,167.56
