figure_key,series,seq,source,draw_index,x_pt,y_pt,x_px600,y_px600,marker_w_pt,marker_h_pt,deflection_in,load_kips
thesis_fig4-24,NON-00BS,1,markers,9,191.43,258.75,1595.3,2156.3,6.06,6.06,-0.016,0.89
thesis_fig4-24,NON-00BS,2,markers,11,192.6,256.17,1605.0,2134.8,6.12,6.06,0.0359,5.911
thesis_fig4-24,NON-00BS,3,markers,13,194.1,253.71,1617.5,2114.2,6.12,6.06,0.1025,10.699
thesis_fig4-24,NON-00BS,4,markers,15,194.88,252.39,1624.0,2103.2,6.12,6.06,0.1371,13.268
thesis_fig4-24,NON-00BS,5,markers,17,195.54,251.07,1629.5,2092.2,6.12,6.06,0.1664,15.837
thesis_fig4-24,NON-00BS,6,markers,19,195.54,251.07,1629.5,2092.2,6.12,6.06,0.1664,15.837
thesis_fig4-24,NON-00BS,7,markers,21,196.38,249.87,1636.5,2082.3,6.12,6.06,0.2036,18.172
thesis_fig4-24,NON-00BS,8,markers,23,197.22,248.55,1643.5,2071.3,6.12,6.06,0.2409,20.741
thesis_fig4-24,NON-00BS,9,markers,25,198.06,247.29,1650.5,2060.8,6.12,6.06,0.2782,23.193
thesis_fig4-24,NON-00BS,10,markers,27,198.9,245.97,1657.5,2049.8,6.12,6.06,0.3154,25.762
thesis_fig4-24,NON-00BS,11,markers,29,199.8,244.71,1665.0,2039.2,6.12,6.06,0.3553,28.215
thesis_fig4-24,NON-00BS,12,markers,31,199.8,244.71,1665.0,2039.2,6.12,6.06,0.3553,28.215
thesis_fig4-24,NON-00BS,13,markers,33,200.64,243.45,1672.0,2028.7,6.12,6.06,0.3926,30.667
thesis_fig4-24,NON-00BS,14,markers,35,201.54,242.16,1679.5,2018.0,6.12,6.12,0.4325,33.177
thesis_fig4-24,NON-00BS,15,markers,37,202.44,240.87,1687.0,2007.3,6.12,6.06,0.4724,35.688
thesis_fig4-24,NON-00BS,16,markers,39,203.4,239.61,1695.0,1996.8,6.12,6.06,0.515,38.14
thesis_fig4-24,NON-00BS,17,markers,41,204.36,238.29,1703.0,1985.8,6.12,6.06,0.5576,40.709
thesis_fig4-24,NON-00BS,18,markers,43,205.26,237.03,1710.5,1975.2,6.12,6.06,0.5975,43.161
thesis_fig4-24,NON-00BS,19,markers,45,206.22,235.71,1718.5,1964.2,6.12,6.06,0.6401,45.73
thesis_fig4-24,NON-00BS,20,markers,47,207.12,234.45,1726.0,1953.7,6.12,6.06,0.6801,48.183
thesis_fig4-24,NON-00BS,21,markers,49,208.2,233.19,1735.0,1943.2,6.12,6.06,0.728,50.635
thesis_fig4-24,NON-00BS,22,markers,51,209.22,231.87,1743.5,1932.3,6.12,6.06,0.7732,53.204
