figure_key,series,seq,source,draw_index,x_pt,y_pt,x_px600,y_px600,marker_w_pt,marker_h_pt,deflection_in,load_kips
thesis_fig4-63,HASAA-30BS,1,markers,9,188.64,374.1,1572.0,3117.5,6.24,6.24,-0.0161,0.867
thesis_fig4-63,HASAA-30BS,2,markers,11,189.45,371.16,1578.7,3093.0,6.3,6.24,0.019,6.439
thesis_fig4-63,HASAA-30BS,3,markers,13,190.14,368.7,1584.5,3072.5,6.24,6.24,0.0488,11.101
thesis_fig4-63,HASAA-30BS,4,markers,15,190.86,366.12,1590.5,3051.0,6.24,6.24,0.08,15.991
thesis_fig4-63,HASAA-30BS,5,markers,17,191.61,363.48,1596.8,3029.0,6.3,6.24,0.1125,20.995
thesis_fig4-63,HASAA-30BS,6,markers,19,191.67,363.36,1597.2,3028.0,6.3,6.24,0.1151,21.222
thesis_fig4-63,HASAA-30BS,7,markers,21,192.42,360.87,1603.5,3007.2,6.24,6.18,0.1476,25.941
thesis_fig4-63,HASAA-30BS,8,markers,23,193.2,358.38,1610.0,2986.5,6.24,6.24,0.1814,30.661
thesis_fig4-63,HASAA-30BS,9,markers,25,193.2,358.44,1610.0,2987.0,6.24,6.24,0.1814,30.547
thesis_fig4-63,HASAA-30BS,10,markers,27,194.22,355.65,1618.5,2963.7,6.24,6.18,0.2256,35.835
thesis_fig4-63,HASAA-30BS,11,markers,29,194.22,355.74,1618.5,2964.5,6.24,6.24,0.2256,35.664
thesis_fig4-63,HASAA-30BS,12,markers,31,195.12,353.04,1626.0,2942.0,6.24,6.24,0.2646,40.782
thesis_fig4-63,HASAA-30BS,13,markers,33,196.05,350.4,1633.8,2920.0,6.3,6.24,0.3049,45.785
thesis_fig4-63,HASAA-30BS,14,markers,35,197.04,347.76,1642.0,2898.0,6.24,6.24,0.3477,50.789
thesis_fig4-63,HASAA-30BS,15,markers,37,198.09,345.18,1650.7,2876.5,6.3,6.24,0.3932,55.679
thesis_fig4-63,HASAA-30BS,16,markers,39,199.05,342.6,1658.8,2855.0,6.3,6.24,0.4348,60.569
thesis_fig4-63,HASAA-30BS,17,markers,41,200.01,339.96,1666.7,2833.0,6.3,6.24,0.4764,65.572
thesis_fig4-63,HASAA-30BS,18,markers,43,201.0,337.32,1675.0,2811.0,6.24,6.24,0.5193,70.576
thesis_fig4-63,HASAA-30BS,19,markers,45,201.96,334.71,1683.0,2789.2,6.24,6.18,0.5609,75.523
thesis_fig4-63,HASAA-30BS,20,markers,47,202.92,332.01,1691.0,2766.8,6.24,6.18,0.6024,80.64
thesis_fig4-63,HASAA-30BS,21,markers,49,203.94,329.46,1699.5,2745.5,6.24,6.24,0.6466,85.473
thesis_fig4-63,HASAA-30BS,22,markers,51,204.9,326.82,1707.5,2723.5,6.24,6.24,0.6882,90.477
thesis_fig4-63,HASAA-30BS,23,markers,53,205.98,324.24,1716.5,2702.0,6.24,6.24,0.735,95.366
thesis_fig4-63,HASAA-30BS,24,markers,55,207.0,321.54,1725.0,2679.5,6.24,6.24,0.7792,100.484
thesis_fig4-63,HASAA-30BS,25,markers,57,208.08,318.96,1734.0,2658.0,6.24,6.24,0.826,105.374
thesis_fig4-63,HASAA-30BS,26,markers,59,209.1,316.38,1742.5,2636.5,6.24,6.24,0.8702,110.264
thesis_fig4-63,HASAA-30BS,27,markers,61,210.33,313.68,1752.8,2614.0,6.3,6.24,0.9234,115.381
thesis_fig4-63,HASAA-30BS,28,markers,63,211.47,311.1,1762.3,2592.5,6.3,6.24,0.9728,120.271
thesis_fig4-63,HASAA-30BS,29,markers,65,212.73,308.4,1772.7,2570.0,6.3,6.24,1.0274,125.388
thesis_fig4-63,HASAA-30BS,30,markers,67,213.81,305.76,1781.7,2548.0,6.3,6.24,1.0742,130.392
thesis_fig4-63,HASAA-30BS,31,markers,69,215.13,303.18,1792.8,2526.5,6.3,6.24,1.1314,135.282
thesis_fig4-63,HASAA-30BS,32,markers,71,216.24,300.6,1802.0,2505.0,6.24,6.24,1.1794,140.171
thesis_fig4-63,HASAA-30BS,33,markers,73,217.56,297.78,1813.0,2481.5,6.24,6.24,1.2366,145.516
thesis_fig4-63,HASAA-30BS,34,markers,75,218.7,295.38,1822.5,2461.5,6.24,6.24,1.286,150.065
thesis_fig4-63,HASAA-30BS,35,markers,77,220.29,292.68,1835.8,2439.0,6.3,6.24,1.3549,155.182
thesis_fig4-63,HASAA-30BS,36,markers,79,221.58,290.04,1846.5,2417.0,6.24,6.24,1.4108,160.186
thesis_fig4-63,HASAA-30BS,37,markers,81,223.08,287.52,1859.0,2396.0,6.24,6.24,1.4757,164.962
thesis_fig4-63,HASAA-30BS,38,markers,83,224.58,284.82,1871.5,2373.5,6.24,6.24,1.5407,170.079
thesis_fig4-63,HASAA-30BS,39,markers,85,226.26,282.18,1885.5,2351.5,6.24,6.24,1.6135,175.083
thesis_fig4-63,HASAA-30BS,40,markers,87,228.09,279.6,1900.7,2330.0,6.3,6.24,1.6928,179.973
thesis_fig4-63,HASAA-30BS,41,markers,89,229.86,277.02,1915.5,2308.5,6.24,6.24,1.7694,184.863
thesis_fig4-63,HASAA-30BS,42,markers,91,231.81,274.98,1931.7,2291.5,6.3,6.24,1.8539,188.729
thesis_fig4-63,HASAA-30BS,43,markers,93,234.09,272.22,1950.7,2268.5,6.3,6.24,1.9527,193.96
thesis_fig4-63,HASAA-30BS,44,markers,95,236.61,270.3,1971.8,2252.5,6.3,6.24,2.0618,197.599
thesis_fig4-63,HASAA-30BS,45,markers,97,239.52,267.24,1996.0,2227.0,6.24,6.24,2.1879,203.399
thesis_fig4-63,HASAA-30BS,46,markers,99,242.49,266.88,2020.8,2224.0,6.3,6.24,2.3165,204.081
