figure_key,series,seq,source,draw_index,x_pt,y_pt,x_px600,y_px600,marker_w_pt,marker_h_pt,deflection_in,load_kips
thesis_fig4-61,HASAA-30BS1_center,1,markers,9,190.59,614.25,1588.2,5118.8,7.98,7.98,-0.0058,0.125
thesis_fig4-61,HASAA-30BS1_center,2,markers,11,190.59,614.22,1588.2,5118.5,7.98,7.92,-0.0058,0.183
thesis_fig4-61,HASAA-30BS1_center,3,markers,13,191.16,612.12,1593.0,5101.0,7.92,7.92,0.0192,4.228
thesis_fig4-61,HASAA-30BS1_center,4,markers,15,191.16,612.12,1593.0,5101.0,7.92,7.92,0.0192,4.228
thesis_fig4-61,HASAA-30BS1_center,5,markers,17,191.31,611.52,1594.2,5096.0,7.98,7.92,0.0258,5.384
thesis_fig4-61,HASAA-30BS1_center,6,markers,19,192.0,609.03,1600.0,5075.3,7.92,7.98,0.0562,10.18
thesis_fig4-61,HASAA-30BS1_center,7,markers,21,193.02,606.42,1608.5,5053.5,7.92,7.92,0.101,15.207
thesis_fig4-61,HASAA-30BS1_center,8,markers,23,193.86,603.9,1615.5,5032.5,7.92,7.92,0.1379,20.061
thesis_fig4-61,HASAA-30BS1_center,9,markers,25,194.73,601.26,1622.7,5010.5,7.98,7.92,0.1762,25.146
thesis_fig4-61,HASAA-30BS1_center,10,markers,27,195.6,598.71,1630.0,4989.3,7.92,7.98,0.2144,30.057
thesis_fig4-61,HASAA-30BS1_center,11,markers,29,196.44,596.1,1637.0,4967.5,7.92,7.92,0.2513,35.084
thesis_fig4-61,HASAA-30BS1_center,12,markers,31,197.64,594.39,1647.0,4953.3,7.92,7.98,0.3041,38.378
thesis_fig4-61,HASAA-30BS1_center,13,markers,33,197.97,593.34,1649.8,4944.5,7.98,7.92,0.3186,40.401
thesis_fig4-61,HASAA-30BS1_center,14,markers,35,198.96,590.82,1658.0,4923.5,7.92,7.92,0.3621,45.254
thesis_fig4-61,HASAA-30BS1_center,15,markers,37,199.95,588.12,1666.2,4901.0,7.98,7.92,0.4056,50.455
thesis_fig4-61,HASAA-30BS1_center,16,markers,39,200.94,585.72,1674.5,4881.0,7.92,7.92,0.4492,55.078
thesis_fig4-61,HASAA-30BS1_center,17,markers,41,201.96,583.08,1683.0,4859.0,7.92,7.92,0.494,60.163
thesis_fig4-61,HASAA-30BS1_center,18,markers,43,202.98,580.44,1691.5,4837.0,7.92,7.92,0.5388,65.248
