figure_key,series,seq,source,draw_index,x_pt,y_pt,x_px600,y_px600,marker_w_pt,marker_h_pt,deflection_in,load_kips
thesis_fig4-18,DBLNB-30BS_center,1,markers,9,192.45,262.62,1603.7,2188.5,7.02,6.96,-0.023,-1.148
thesis_fig4-18,DBLNB-30BS_center,2,markers,11,192.45,262.62,1603.7,2188.5,7.02,6.96,-0.023,-1.148
thesis_fig4-18,DBLNB-30BS_center,3,markers,13,193.26,259.8,1610.5,2165.0,6.96,6.96,0.0132,4.466
thesis_fig4-18,DBLNB-30BS_center,4,markers,15,194.25,256.98,1618.8,2141.5,7.02,6.96,0.0575,10.081
thesis_fig4-18,DBLNB-30BS_center,5,markers,17,194.91,255.0,1624.3,2125.0,7.02,6.96,0.087,14.023
thesis_fig4-18,DBLNB-30BS_center,6,markers,19,194.91,255.12,1624.3,2126.0,7.02,6.96,0.087,13.784
thesis_fig4-18,DBLNB-30BS_center,7,markers,21,195.63,252.78,1630.3,2106.5,7.02,6.96,0.1192,18.443
thesis_fig4-18,DBLNB-30BS_center,8,markers,23,196.44,250.08,1637.0,2084.0,6.96,6.96,0.1554,23.819
thesis_fig4-18,DBLNB-30BS_center,9,markers,25,197.22,246.96,1643.5,2058.0,6.96,6.96,0.1903,30.03
thesis_fig4-18,DBLNB-30BS_center,10,markers,27,197.79,244.92,1648.3,2041.0,7.02,6.96,0.2157,34.092
thesis_fig4-18,DBLNB-30BS_center,11,markers,29,198.66,242.46,1655.5,2020.5,6.96,6.96,0.2546,38.99
thesis_fig4-18,DBLNB-30BS_center,12,markers,31,199.53,239.88,1662.7,1999.0,7.02,6.96,0.2935,44.126
thesis_fig4-18,DBLNB-30BS_center,13,markers,33,200.37,237.54,1669.7,1979.5,7.02,6.96,0.3311,48.785
thesis_fig4-18,DBLNB-30BS_center,14,markers,35,200.37,239.46,1669.7,1995.5,7.02,6.96,0.3311,44.963
thesis_fig4-18,DBLNB-30BS_center,15,markers,37,201.9,232.5,1682.5,1937.5,6.96,6.96,0.3994,58.82
thesis_fig4-18,DBLNB-30BS_center,16,markers,39,202.98,230.1,1691.5,1917.5,6.96,6.96,0.4477,63.598
thesis_fig4-18,DBLNB-30BS_center,17,markers,41,202.98,229.89,1691.5,1915.8,6.96,7.02,0.4477,64.016
thesis_fig4-18,DBLNB-30BS_center,18,markers,43,203.91,227.4,1699.3,1895.0,7.02,6.96,0.4893,68.974
thesis_fig4-18,DBLNB-30BS_center,19,markers,45,205.08,224.94,1709.0,1874.5,6.96,6.96,0.5416,73.871
thesis_fig4-18,DBLNB-30BS_center,20,markers,47,206.22,222.96,1718.5,1858.0,6.96,6.96,0.5926,77.813
thesis_fig4-18,DBLNB-30BS_center,21,markers,49,208.56,217.44,1738.0,1812.0,6.96,6.96,0.6971,88.804
thesis_fig4-18,DBLNB-30BS_center,22,markers,51,208.56,217.62,1738.0,1813.5,6.96,6.96,0.6971,88.445
thesis_fig4-18,DBLNB-30BS_center,23,markers,53,209.55,215.01,1746.3,1791.8,7.02,7.02,0.7414,93.642
thesis_fig4-18,DBLNB-30BS_center,24,markers,55,210.84,212.4,1757.0,1770.0,6.96,6.96,0.7991,98.838
thesis_fig4-18,DBLNB-30BS_center,25,markers,57,212.25,209.82,1768.8,1748.5,7.02,6.96,0.8621,103.975
thesis_fig4-18,DBLNB-30BS_center,26,markers,59,213.39,207.36,1778.2,1728.0,7.02,6.96,0.913,108.872
thesis_fig4-18,DBLNB-30BS_center,27,markers,61,213.42,207.66,1778.5,1730.5,6.96,6.96,0.9144,108.275
thesis_fig4-18,DBLNB-30BS_center,28,markers,63,214.68,204.63,1789.0,1705.3,6.96,7.02,0.9707,114.308
thesis_fig4-18,DBLNB-30BS_center,29,markers,65,215.85,202.5,1798.8,1687.5,7.02,6.96,1.023,118.549
thesis_fig4-18,DBLNB-30BS_center,30,markers,67,217.29,200.22,1810.8,1668.5,7.02,6.96,1.0874,123.088
thesis_fig4-18,DBLNB-30BS_center,31,markers,69,218.58,197.82,1821.5,1648.5,6.96,6.96,1.145,127.866
thesis_fig4-18,DBLNB-30BS_center,32,markers,71,219.99,195.12,1833.3,1626.0,7.02,6.96,1.2081,133.242
thesis_fig4-18,DBLNB-30BS_center,33,markers,73,221.37,192.75,1844.7,1606.3,7.02,7.02,1.2698,137.96
thesis_fig4-18,DBLNB-30BS_center,34,markers,75,222.72,190.59,1856.0,1588.2,6.96,7.02,1.3301,142.261
thesis_fig4-18,DBLNB-30BS_center,35,markers,77,224.25,187.98,1868.8,1566.5,7.02,6.96,1.3985,147.457
thesis_fig4-18,DBLNB-30BS_center,36,markers,79,225.63,185.34,1880.3,1544.5,7.02,6.96,1.4602,152.713
thesis_fig4-18,DBLNB-30BS_center,37,markers,81,227.1,182.88,1892.5,1524.0,6.96,6.96,1.5259,157.611
thesis_fig4-18,DBLNB-30BS_center,38,markers,83,228.75,180.36,1906.3,1503.0,7.02,6.96,1.5996,162.628
thesis_fig4-18,DBLNB-30BS_center,39,markers,85,230.46,177.9,1920.5,1482.5,6.96,6.96,1.6761,167.526
thesis_fig4-18,DBLNB-30BS_center,40,markers,87,232.14,175.59,1934.5,1463.2,6.96,7.02,1.7512,172.125
thesis_fig4-18,DBLNB-30BS_center,41,markers,89,234.12,173.07,1951.0,1442.3,6.96,7.02,1.8397,177.142
thesis_fig4-18,DBLNB-30BS_center,42,markers,91,236.04,170.52,1967.0,1421.0,6.96,6.96,1.9255,182.219
thesis_fig4-18,DBLNB-30BS_center,43,markers,93,238.26,168.0,1985.5,1400.0,6.96,6.96,2.0247,187.237
thesis_fig4-18,DBLNB-30BS_center,44,markers,95,238.32,168.6,1986.0,1405.0,6.96,6.96,2.0274,186.042
thesis_fig4-18,DBLNB-30BS_center,45,markers,97,240.75,166.02,2006.3,1383.5,7.02,6.96,2.136,191.179
thesis_fig4-18,DBLNB-30BS_center,46,markers,99,243.81,163.26,2031.7,1360.5,7.02,6.96,2.2728,196.674
thesis_fig4-18,DBLNB-30BS_center,47,markers,101,243.93,164.76,2032.7,1373.0,7.02,6.96,2.2782,193.687
thesis_fig4-18,DBLNB-30BS_center,48,markers,103,244.86,162.45,2040.5,1353.8,6.96,7.02,2.3197,198.286
thesis_fig4-18,DBLNB-30BS_center,49,markers,105,244.86,162.6,2040.5,1355.0,6.96,6.96,2.3197,197.988
thesis_fig4-18,DBLNB-30BS_center,50,markers,107,246.6,160.62,2055.0,1338.5,6.96,6.96,2.3975,201.93
thesis_fig4-18,DBLNB-30BS_center,51,markers,109,249.78,158.46,2081.5,1320.5,6.96,6.96,2.5397,206.23
thesis_fig4-18,DBLNB-30BS_center,52,markers,111,253.83,156.15,2115.3,1301.2,7.02,7.02,2.7207,210.83
thesis_fig4-18,DBLNB-30BS_center,53,markers,113,258.93,154.62,2157.8,1288.5,7.02,6.96,2.9487,213.876
thesis_fig4-18,DBLNB-30BS_center,54,markers,115,265.83,153.06,2215.2,1275.5,7.02,6.96,3.2571,216.982
thesis_fig4-18,DBLNB-30BS_center,55,markers,117,271.38,149.82,2261.5,1248.5,6.96,6.96,3.5052,223.432
thesis_fig4-18,DBLNB-30BS_center,56,markers,119,271.38,149.88,2261.5,1249.0,6.96,6.96,3.5052,223.313
thesis_fig4-18,DBLNB-30BS_center,57,markers,121,277.05,147.72,2308.7,1231.0,7.02,6.96,3.7586,227.613
