figure_key,series,seq,source,draw_index,x_pt,y_pt,x_px600,y_px600,marker_w_pt,marker_h_pt,deflection_in,load_kips
thesis_fig4-22,HTFGB-30BS_center,43,markers,93,212.22,220.56,1768.5,1838.0,7.92,7.92,0.9362,91.597
thesis_fig4-22,HTFGB-30BS_center,44,markers,95,212.22,220.62,1768.5,1838.5,7.92,7.92,0.9362,91.481
thesis_fig4-22,HTFGB-30BS_center,45,markers,97,212.7,218.64,1772.5,1822.0,7.92,7.92,0.9573,95.295
thesis_fig4-22,HTFGB-30BS_center,46,markers,99,213.3,216.0,1777.5,1800.0,7.92,7.92,0.9838,100.38
thesis_fig4-22,HTFGB-30BS_center,47,markers,101,213.99,213.54,1783.3,1779.5,7.86,7.92,1.0142,105.118
thesis_fig4-22,HTFGB-30BS_center,48,markers,103,215.1,214.44,1792.5,1787.0,7.92,7.92,1.0631,103.385
thesis_fig4-22,HTFGB-30BS_center,49,markers,105,215.1,214.38,1792.5,1786.5,7.92,7.92,1.0631,103.5
thesis_fig4-22,HTFGB-30BS_center,50,markers,107,215.22,213.42,1793.5,1778.5,7.92,7.92,1.0684,105.35
thesis_fig4-22,HTFGB-30BS_center,51,markers,109,215.94,210.9,1799.5,1757.5,7.92,7.92,1.1001,110.203
thesis_fig4-22,HTFGB-30BS_center,52,markers,111,215.94,210.96,1799.5,1758.0,7.92,7.92,1.1001,110.088
thesis_fig4-22,HTFGB-30BS_center,53,markers,113,216.6,208.32,1805.0,1736.0,7.92,7.92,1.1292,115.173
thesis_fig4-22,HTFGB-30BS_center,54,markers,115,216.6,208.44,1805.0,1737.0,7.92,7.92,1.1292,114.942
thesis_fig4-22,HTFGB-30BS_center,55,markers,117,217.38,205.8,1811.5,1715.0,7.92,7.92,1.1636,120.027
thesis_fig4-22,HTFGB-30BS_center,56,markers,119,217.38,205.92,1811.5,1716.0,7.92,7.92,1.1636,119.796
thesis_fig4-22,HTFGB-30BS_center,57,markers,121,218.34,208.14,1819.5,1734.5,7.92,7.92,1.2059,115.52
thesis_fig4-22,HTFGB-30BS_center,58,markers,123,218.94,205.68,1824.5,1714.0,7.92,7.92,1.2323,120.258
thesis_fig4-22,HTFGB-30BS_center,59,markers,125,219.66,203.1,1830.5,1692.5,7.92,7.92,1.264,125.227
thesis_fig4-22,HTFGB-30BS_center,60,markers,127,220.26,203.1,1835.5,1692.5,7.92,7.92,1.2905,125.227
thesis_fig4-22,HTFGB-30BS_center,61,markers,129,220.92,200.52,1841.0,1671.0,7.92,7.92,1.3196,130.197
thesis_fig4-22,HTFGB-30BS_center,62,markers,131,221.76,198.06,1848.0,1650.5,7.92,7.92,1.3566,134.935
thesis_fig4-22,HTFGB-30BS_center,63,markers,133,222.54,198.66,1854.5,1655.5,7.92,7.92,1.3909,133.779
thesis_fig4-22,HTFGB-30BS_center,64,markers,135,222.72,197.88,1856.0,1649.0,7.92,7.92,1.3989,135.282
thesis_fig4-22,HTFGB-30BS_center,65,markers,137,223.62,198.42,1863.5,1653.5,7.92,7.92,1.4385,134.242
thesis_fig4-22,HTFGB-30BS_center,66,markers,139,223.71,197.88,1864.2,1649.0,7.86,7.92,1.4425,135.282
thesis_fig4-22,HTFGB-30BS_center,67,markers,141,224.46,195.42,1870.5,1628.5,7.92,7.92,1.4756,140.02
thesis_fig4-22,HTFGB-30BS_center,68,markers,143,225.24,192.9,1877.0,1607.5,7.92,7.92,1.5099,144.874
