figure_key,series,seq,source,draw_index,x_pt,y_pt,x_px600,y_px600,marker_w_pt,marker_h_pt,deflection_in,load_kips
thesis_fig4-16,NON-00BS_center,1,markers,9,194.01,270.33,1616.8,2252.8,7.14,7.14,-0.017,-1.111
thesis_fig4-16,NON-00BS_center,2,markers,11,195.18,267.57,1626.5,2229.8,7.2,7.14,0.0347,3.932
thesis_fig4-16,NON-00BS_center,3,markers,13,196.68,264.9,1639.0,2207.5,7.2,7.2,0.1009,8.81
thesis_fig4-16,NON-00BS_center,4,markers,15,197.46,263.49,1645.5,2195.7,7.2,7.14,0.1354,11.385
thesis_fig4-16,NON-00BS_center,5,markers,17,198.09,262.08,1650.7,2184.0,7.14,7.2,0.1632,13.961
thesis_fig4-16,NON-00BS_center,6,markers,19,198.09,262.11,1650.7,2184.2,7.14,7.14,0.1632,13.907
thesis_fig4-16,NON-00BS_center,7,markers,21,198.93,260.79,1657.8,2173.2,7.14,7.14,0.2004,16.318
thesis_fig4-16,NON-00BS_center,8,markers,23,199.83,259.35,1665.3,2161.2,7.14,7.14,0.2401,18.949
thesis_fig4-16,NON-00BS_center,9,markers,25,200.67,258.03,1672.3,2150.2,7.14,7.14,0.2772,21.36
thesis_fig4-16,NON-00BS_center,10,markers,27,201.51,256.62,1679.2,2138.5,7.14,7.2,0.3144,23.936
thesis_fig4-16,NON-00BS_center,11,markers,29,202.41,255.27,1686.8,2127.3,7.14,7.14,0.3541,26.402
thesis_fig4-16,NON-00BS_center,12,markers,31,202.41,255.27,1686.8,2127.3,7.14,7.14,0.3541,26.402
thesis_fig4-16,NON-00BS_center,13,markers,33,203.22,253.89,1693.5,2115.8,7.2,7.14,0.3899,28.924
thesis_fig4-16,NON-00BS_center,14,markers,35,204.12,252.51,1701.0,2104.3,7.2,7.14,0.4297,31.445
thesis_fig4-16,NON-00BS_center,15,markers,37,205.05,251.16,1708.7,2093.0,7.14,7.2,0.4708,33.911
thesis_fig4-16,NON-00BS_center,16,markers,39,205.98,249.75,1716.5,2081.3,7.2,7.14,0.5119,36.487
thesis_fig4-16,NON-00BS_center,17,markers,41,206.94,248.4,1724.5,2070.0,7.2,7.2,0.5543,38.953
thesis_fig4-16,NON-00BS_center,18,markers,43,207.9,247.02,1732.5,2058.5,7.2,7.2,0.5967,41.474
thesis_fig4-16,NON-00BS_center,19,markers,45,208.8,245.61,1740.0,2046.7,7.2,7.14,0.6365,44.05
thesis_fig4-16,NON-00BS_center,20,markers,47,209.76,244.26,1748.0,2035.5,7.2,7.2,0.6789,46.517
thesis_fig4-16,NON-00BS_center,21,markers,49,210.81,242.91,1756.8,2024.2,7.14,7.14,0.7253,48.983
thesis_fig4-16,NON-00BS_center,22,markers,51,211.83,241.5,1765.3,2012.5,7.14,7.2,0.7703,51.559
thesis_fig4-16,NON-00BS_center,23,markers,53,211.83,241.62,1765.2,2013.5,7.14,7.2,0.7703,51.34
thesis_fig4-16,NON-00BS_center,24,markers,55,212.79,240.12,1773.3,2001.0,7.14,7.2,0.8127,54.08
thesis_fig4-16,NON-00BS_center,25,markers,57,213.72,238.77,1781.0,1989.8,7.2,7.14,0.8538,56.546
thesis_fig4-16,NON-00BS_center,26,markers,59,214.59,237.45,1788.3,1978.8,7.14,7.14,0.8923,58.958
thesis_fig4-16,NON-00BS_center,27,markers,61,215.1,237.15,1792.5,1976.2,7.2,7.14,0.9148,59.506
thesis_fig4-16,NON-00BS_center,28,markers,63,216.0,235.74,1800.0,1964.5,7.2,7.2,0.9546,62.082
thesis_fig4-16,NON-00BS_center,29,markers,65,216.84,234.39,1807.0,1953.3,7.2,7.14,0.9917,64.548
thesis_fig4-16,NON-00BS_center,30,markers,67,217.8,232.98,1815.0,1941.5,7.2,7.2,1.0341,67.124
thesis_fig4-16,NON-00BS_center,31,markers,69,217.8,233.07,1815.0,1942.3,7.2,7.14,1.0341,66.96
thesis_fig4-16,NON-00BS_center,32,markers,71,218.73,231.69,1822.8,1930.8,7.14,7.14,1.0752,69.481
thesis_fig4-16,NON-00BS_center,33,markers,73,219.81,230.28,1831.7,1919.0,7.14,7.2,1.1229,72.057
thesis_fig4-16,NON-00BS_center,34,markers,75,220.86,228.87,1840.5,1907.3,7.2,7.14,1.1693,74.633
thesis_fig4-16,NON-00BS_center,35,markers,77,221.82,227.55,1848.5,1896.2,7.2,7.14,1.2117,77.044
thesis_fig4-16,NON-00BS_center,36,markers,79,221.82,227.67,1848.5,1897.2,7.2,7.14,1.2117,76.825
thesis_fig4-16,NON-00BS_center,37,markers,81,222.87,226.14,1857.3,1884.5,7.14,7.2,1.2581,79.62
thesis_fig4-16,NON-00BS_center,38,markers,83,223.89,224.79,1865.7,1873.2,7.14,7.14,1.3032,82.086
thesis_fig4-16,NON-00BS_center,39,markers,85,225.03,223.38,1875.3,1861.5,7.14,7.2,1.3535,84.662
thesis_fig4-16,NON-00BS_center,40,markers,87,226.08,222.06,1884.0,1850.5,7.2,7.2,1.3999,87.074
thesis_fig4-16,NON-00BS_center,41,markers,89,226.98,220.65,1891.5,1838.7,7.2,7.14,1.4397,89.65
thesis_fig4-16,NON-00BS_center,42,markers,91,228.03,219.33,1900.2,1827.8,7.14,7.14,1.4861,92.061
thesis_fig4-16,NON-00BS_center,43,markers,93,229.05,217.95,1908.8,1816.3,7.14,7.14,1.5312,94.582
thesis_fig4-16,NON-00BS_center,44,markers,95,229.05,218.16,1908.7,1818.0,7.14,7.2,1.5312,94.199
thesis_fig4-16,NON-00BS_center,45,markers,97,230.19,216.57,1918.2,1804.8,7.14,7.14,1.5815,97.103
thesis_fig4-16,NON-00BS_center,46,markers,99,230.19,216.57,1918.2,1804.8,7.14,7.14,1.5815,97.103
thesis_fig4-16,NON-00BS_center,47,markers,101,231.3,215.22,1927.5,1793.5,7.2,7.2,1.6306,99.57
thesis_fig4-16,NON-00BS_center,48,markers,103,232.41,213.81,1936.7,1781.8,7.14,7.14,1.6796,102.146
thesis_fig4-16,NON-00BS_center,49,markers,105,233.52,212.43,1946.0,1770.3,7.2,7.14,1.7287,104.667
thesis_fig4-16,NON-00BS_center,50,markers,107,234.3,212.25,1952.5,1768.8,7.2,7.14,1.7631,104.996
thesis_fig4-16,NON-00BS_center,51,markers,109,235.11,211.05,1959.2,1758.7,7.14,7.14,1.7989,107.188
thesis_fig4-16,NON-00BS_center,52,markers,111,235.11,211.11,1959.2,1759.2,7.14,7.14,1.7989,107.078
thesis_fig4-16,NON-00BS_center,53,markers,113,236.1,209.73,1967.5,1747.7,7.2,7.14,1.8427,109.599
thesis_fig4-16,NON-00BS_center,54,markers,115,237.21,208.35,1976.7,1736.2,7.14,7.14,1.8917,112.121
thesis_fig4-16,NON-00BS_center,55,markers,117,237.21,208.41,1976.7,1736.7,7.14,7.14,1.8917,112.011
thesis_fig4-16,NON-00BS_center,56,markers,119,238.32,207.03,1986.0,1725.2,7.2,7.14,1.9407,114.532
thesis_fig4-16,NON-00BS_center,57,markers,121,239.64,205.62,1997.0,1713.5,7.2,7.2,1.9991,117.108
thesis_fig4-16,NON-00BS_center,58,markers,123,240.75,204.24,2006.2,1702.0,7.14,7.2,2.0481,119.629
thesis_fig4-16,NON-00BS_center,59,markers,125,242.01,202.92,2016.7,1691.0,7.14,7.2,2.1038,122.041
thesis_fig4-16,NON-00BS_center,60,markers,127,243.18,201.48,2026.5,1679.0,7.2,7.2,2.1555,124.671
thesis_fig4-16,NON-00BS_center,61,markers,129,244.71,200.13,2039.2,1667.8,7.14,7.14,2.2231,127.138
thesis_fig4-16,NON-00BS_center,62,markers,131,245.97,198.78,2049.8,1656.5,7.14,7.2,2.2787,129.604
thesis_fig4-16,NON-00BS_center,63,markers,133,247.59,197.4,2063.3,1645.0,7.14,7.2,2.3503,132.125
thesis_fig4-16,NON-00BS_center,64,markers,135,247.59,197.49,2063.2,1645.7,7.14,7.14,2.3503,131.961
thesis_fig4-16,NON-00BS_center,65,markers,137,248.91,196.05,2074.2,1633.7,7.14,7.14,2.4086,134.591
thesis_fig4-16,NON-00BS_center,66,markers,139,250.59,194.7,2088.2,1622.5,7.14,7.2,2.4829,137.058
thesis_fig4-16,NON-00BS_center,67,markers,141,252.3,193.29,2102.5,1610.7,7.2,7.14,2.5584,139.634
thesis_fig4-16,NON-00BS_center,68,markers,143,254.28,191.91,2119.0,1599.2,7.2,7.14,2.6459,142.155
thesis_fig4-16,NON-00BS_center,69,markers,145,256.17,190.59,2134.8,1588.2,7.14,7.14,2.7294,144.566
thesis_fig4-16,NON-00BS_center,70,markers,147,256.2,191.67,2135.0,1597.2,7.2,7.14,2.7307,142.593
thesis_fig4-16,NON-00BS_center,71,markers,149,258.81,189.93,2156.8,1582.8,7.14,7.14,2.8461,145.772
thesis_fig4-16,NON-00BS_center,72,markers,151,261.96,188.25,2183.0,1568.8,7.2,7.14,2.9852,148.841
thesis_fig4-16,NON-00BS_center,73,markers,153,265.74,186.87,2214.5,1557.3,7.2,7.14,3.1523,151.362
thesis_fig4-16,NON-00BS_center,74,markers,155,269.91,185.55,2249.3,1546.2,7.14,7.14,3.3365,153.774
thesis_fig4-16,NON-00BS_center,75,markers,157,271.95,185.07,2266.3,1542.3,7.14,7.14,3.4266,154.651
thesis_fig4-16,NON-00BS_center,76,markers,159,277.47,184.11,2312.3,1534.2,7.14,7.14,3.6705,156.405
thesis_fig4-16,NON-00BS_center,77,markers,161,285.57,183.06,2379.8,1525.5,7.14,7.2,4.0284,158.323
thesis_fig4-16,NON-00BS_center,78,markers,163,291.15,182.25,2426.2,1518.8,7.14,7.14,4.275,159.803
thesis_fig4-16,NON-00BS_center,79,markers,165,296.79,181.56,2473.3,1513.0,7.14,7.2,4.5241,161.063
thesis_fig4-16,NON-00BS_center,80,markers,167,302.67,181.41,2522.3,1511.7,7.14,7.14,4.7839,161.337
thesis_fig4-16,NON-00BS_center,81,markers,169,308.31,181.23,2569.2,1510.2,7.14,7.14,5.0331,161.666
thesis_fig4-16,NON-00BS_center,82,markers,171,313.77,181.02,2614.7,1508.5,7.14,7.2,5.2744,162.05
thesis_fig4-16,NON-00BS_center,83,markers,173,319.35,181.05,2661.3,1508.7,7.14,7.14,5.5209,161.995
thesis_fig4-16,NON-00BS_center,84,markers,175,325.2,181.05,2710.0,1508.7,7.2,7.14,5.7794,161.995
