figure_key,series,seq,source,draw_index,x_pt,y_pt,x_px600,y_px600,marker_w_pt,marker_h_pt,deflection_in,load_kips
thesis_fig4-20,HASAA-30BS_center,1,markers,9,189.99,266.85,1583.2,2223.7,7.14,7.14,-0.0204,0.36
thesis_fig4-20,HASAA-30BS_center,2,markers,11,190.77,264.0,1589.7,2200.0,7.14,7.08,0.0137,5.897
thesis_fig4-20,HASAA-30BS_center,3,markers,13,191.49,261.54,1595.8,2179.5,7.14,7.08,0.0452,10.677
thesis_fig4-20,HASAA-30BS_center,4,markers,15,192.18,259.05,1601.5,2158.7,7.08,7.14,0.0754,15.516
thesis_fig4-20,HASAA-30BS_center,5,markers,17,192.93,256.47,1607.8,2137.2,7.14,7.14,0.1082,20.529
thesis_fig4-20,HASAA-30BS_center,6,markers,19,192.99,256.32,1608.2,2136.0,7.14,7.08,0.1108,20.821
thesis_fig4-20,HASAA-30BS_center,7,markers,21,193.71,253.89,1614.2,2115.8,7.14,7.14,0.1423,25.542
thesis_fig4-20,HASAA-30BS_center,8,markers,23,194.49,251.46,1620.7,2095.5,7.14,7.08,0.1764,30.264
thesis_fig4-20,HASAA-30BS_center,9,markers,25,194.49,251.52,1620.7,2096.0,7.14,7.08,0.1764,30.148
thesis_fig4-20,HASAA-30BS_center,10,markers,27,195.51,248.79,1629.2,2073.2,7.14,7.14,0.221,35.452
thesis_fig4-20,HASAA-30BS_center,11,markers,29,195.51,248.85,1629.2,2073.7,7.14,7.14,0.221,35.336
thesis_fig4-20,HASAA-30BS_center,12,markers,31,196.41,246.24,1636.8,2052.0,7.14,7.08,0.2604,40.407
thesis_fig4-20,HASAA-30BS_center,13,markers,33,197.31,243.66,1644.2,2030.5,7.14,7.08,0.2998,45.421
thesis_fig4-20,HASAA-30BS_center,14,markers,35,198.3,241.02,1652.5,2008.5,7.08,7.08,0.3431,50.551
thesis_fig4-20,HASAA-30BS_center,15,markers,37,199.35,238.5,1661.3,1987.5,7.14,7.08,0.389,55.447
thesis_fig4-20,HASAA-30BS_center,16,markers,39,200.31,235.98,1669.2,1966.5,7.14,7.08,0.431,60.344
thesis_fig4-20,HASAA-30BS_center,17,markers,41,201.27,233.4,1677.3,1945.0,7.14,7.08,0.473,65.357
thesis_fig4-20,HASAA-30BS_center,18,markers,43,202.23,230.79,1685.2,1923.2,7.14,7.14,0.515,70.429
thesis_fig4-20,HASAA-30BS_center,19,markers,45,203.19,228.24,1693.3,1902.0,7.14,7.08,0.557,75.384
thesis_fig4-20,HASAA-30BS_center,20,markers,47,204.12,225.6,1701.0,1880.0,7.08,7.08,0.5976,80.514
thesis_fig4-20,HASAA-30BS_center,21,markers,49,205.17,223.08,1709.8,1859.0,7.14,7.08,0.6436,85.41
thesis_fig4-20,HASAA-30BS_center,22,markers,51,206.1,220.47,1717.5,1837.2,7.08,7.14,0.6842,90.482
thesis_fig4-20,HASAA-30BS_center,23,markers,53,207.21,217.95,1726.7,1816.3,7.14,7.14,0.7328,95.379
thesis_fig4-20,HASAA-30BS_center,24,markers,55,208.17,215.34,1734.7,1794.5,7.14,7.08,0.7748,100.45
thesis_fig4-20,HASAA-30BS_center,25,markers,57,209.25,212.79,1743.7,1773.2,7.14,7.14,0.822,105.405
thesis_fig4-20,HASAA-30BS_center,26,markers,59,210.27,210.24,1752.2,1752.0,7.14,7.08,0.8666,110.36
