connector_test,type,slip_in,force_kips
HTFGB-05ST,HTFGB,0.18875,22.0
HTFGB-05ST,HTFGB,0.19511,23.0
HTFGB-05ST,HTFGB,0.20388,24.0
HTFGB-05ST,HTFGB,0.20848,25.0
HTFGB-05ST,HTFGB,0.21331,26.0
HTFGB-05ST,HTFGB,0.22076,27.0
HTFGB-05ST,HTFGB,0.22668,28.0
HTFGB-05ST,HTFGB,0.23413,29.0
HTFGB-05ST,HTFGB,0.2429,30.0
HTFGB-05ST,HTFGB,0.2497,31.0
HTFGB-05ST,HTFGB,0.26329,32.0
HTFGB-05ST,HTFGB,0.27732,33.0
HTFGB-05ST,HTFGB,0.28631,34.0
HTFGB-05ST,HTFGB,0.29771,35.0
HTFGB-05ST,HTFGB,0.31064,36.0
HTFGB-05ST,HTFGB,0.32511,37.0
HTFGB-05ST,HTFGB,0.34067,38.0
HTFGB-05ST,HTFGB,0.35624,39.0
HTFGB-05ST,HTFGB,0.37334,40.0
HTFGB-05ST,HTFGB,0.38934,41.0
HTFGB-05ST,HTFGB,0.40556,42.0
HTFGB-05ST,HTFGB,0.42376,43.0
HTFGB-05ST,HTFGB,0.43209,44.0
HTFGB-05ST,HTFGB,0.48689,46.0
HTFGB-05ST,HTFGB,0.51408,47.0
HTFGB-05ST,HTFGB,0.54367,48.0
HTFGB-05ST,HTFGB,0.59935,49.0
HTFGB-05ST,HTFGB,0.62084,50.0
HTFGB-05ST,HTFGB,0.70743,52.0
HTFGB-05ST,HTFGB,0.73878,53.0
HTFGB-05ST,HTFGB,0.77407,54.0
HTFGB-05ST,HTFGB,1.02596,55.33
HTFGB-06ST,HTFGB,0.00043,4.5
HTFGB-06ST,HTFGB,0.00087,9.0
HTFGB-06ST,HTFGB,0.00109,10.0
HTFGB-06ST,HTFGB,0.01008,11.0
HTFGB-06ST,HTFGB,0.02718,12.0
HTFGB-06ST,HTFGB,0.04033,13.0
HTFGB-06ST,HTFGB,0.0673,14.0
HTFGB-06ST,HTFGB,0.08133,15.0
HTFGB-06ST,HTFGB,0.09864,16.0
HTFGB-06ST,HTFGB,0.11158,17.0
HTFGB-06ST,HTFGB,0.12649,18.0
HTFGB-06ST,HTFGB,0.13394,19.0
HTFGB-06ST,HTFGB,0.14907,20.0
HTFGB-06ST,HTFGB,0.1517,21.0
HTFGB-06ST,HTFGB,0.1609,22.0
HTFGB-06ST,HTFGB,0.16638,23.0
HTFGB-06ST,HTFGB,0.18348,24.0
HTFGB-06ST,HTFGB,0.18852,25.0
HTFGB-06ST,HTFGB,0.1962,26.0
HTFGB-06ST,HTFGB,0.20124,27.0
HTFGB-06ST,HTFGB,0.22009,28.0
HTFGB-06ST,HTFGB,0.22404,29.0
HTFGB-06ST,HTFGB,0.23412,30.0
HTFGB-06ST,HTFGB,0.23719,31.0
HTFGB-06ST,HTFGB,0.25583,32.0
HTFGB-06ST,HTFGB,0.26218,33.0
HTFGB-06ST,HTFGB,0.27073,34.0
HTFGB-06ST,HTFGB,0.29265,35.0
HTFGB-06ST,HTFGB,0.29353,36.0
HTFGB-06ST,HTFGB,0.30383,37.0
HTFGB-06ST,HTFGB,0.31217,38.0
HTFGB-06ST,HTFGB,0.33738,39.0
HTFGB-06ST,HTFGB,0.35009,40.0
HTFGB-06ST,HTFGB,0.36544,41.0
HTFGB-06ST,HTFGB,0.39766,42.0
HTFGB-06ST,HTFGB,0.40818,43.0
HTFGB-06ST,HTFGB,0.42594,44.0
HTFGB-06ST,HTFGB,0.46847,45.0
HTFGB-06ST,HTFGB,0.48666,46.0
HTFGB-06ST,HTFGB,0.4985,47.0
HTFGB-06ST,HTFGB,0.53884,48.0
HTFGB-06ST,HTFGB,0.56295,49.0
HTFGB-06ST,HTFGB,0.75981,50.67
HTFGB-06ST,HTFGB,1.54,48.14
HASAA-05ST,HASAA,0.00072,5.0
HASAA-05ST,HASAA,0.00138,6.0
HASAA-05ST,HASAA,0.00151,7.0
HASAA-05ST,HASAA,0.0038,8.0
HASAA-05ST,HASAA,0.00643,9.0
HASAA-05ST,HASAA,0.01016,10.0
HASAA-05ST,HASAA,0.01305,11.0
HASAA-05ST,HASAA,0.01554,12.0
HASAA-05ST,HASAA,0.01763,13.0
HASAA-05ST,HASAA,0.02032,14.0
HASAA-05ST,HASAA,0.02353,15.0
HASAA-05ST,HASAA,0.02694,16.0
HASAA-05ST,HASAA,0.03022,17.0
HASAA-05ST,HASAA,0.03363,18.0
HASAA-05ST,HASAA,0.03743,19.0
HASAA-05ST,HASAA,0.04084,20.0
HASAA-05ST,HASAA,0.04477,21.0
HASAA-05ST,HASAA,0.04883,22.0
HASAA-05ST,HASAA,0.0525,23.0
HASAA-05ST,HASAA,0.05709,24.0
HASAA-05ST,HASAA,0.06155,25.0
HASAA-05ST,HASAA,0.0664,26.0
HASAA-05ST,HASAA,0.07217,27.0
HASAA-05ST,HASAA,0.07898,28.0
HASAA-05ST,HASAA,0.08633,29.0
HASAA-05ST,HASAA,0.09426,30.0
HASAA-05ST,HASAA,0.10429,31.0
HASAA-05ST,HASAA,0.11569,32.0
HASAA-05ST,HASAA,0.13063,33.0
HASAA-05ST,HASAA,0.14918,34.0
HASAA-05ST,HASAA,0.17265,35.0
HASAA-05ST,HASAA,0.21735,36.0
HASAA-05ST,HASAA,0.36162,37.07
HASAA-05ST,HASAA,0.41,35.22
HASAA-06ST,HASAA,0.00118,4.0
HASAA-06ST,HASAA,0.00216,4.5
HASAA-06ST,HASAA,0.00341,5.0
HASAA-06ST,HASAA,0.00478,6.0
HASAA-06ST,HASAA,0.00701,7.0
HASAA-06ST,HASAA,0.00917,8.0
HASAA-06ST,HASAA,0.0116,9.0
HASAA-06ST,HASAA,0.01363,10.0
HASAA-06ST,HASAA,0.01625,11.0
HASAA-06ST,HASAA,0.01861,12.0
HASAA-06ST,HASAA,0.02078,13.0
HASAA-06ST,HASAA,0.02353,14.0
HASAA-06ST,HASAA,0.02608,15.0
HASAA-06ST,HASAA,0.0289,16.0
HASAA-06ST,HASAA,0.03172,17.0
HASAA-06ST,HASAA,0.035,18.0
HASAA-06ST,HASAA,0.03782,19.0
HASAA-06ST,HASAA,0.04123,20.0
HASAA-06ST,HASAA,0.04529,21.0
HASAA-06ST,HASAA,0.04955,22.0
HASAA-06ST,HASAA,0.05453,23.0
HASAA-06ST,HASAA,0.05977,24.0
HASAA-06ST,HASAA,0.06541,25.0
HASAA-06ST,HASAA,0.07334,26.0
HASAA-06ST,HASAA,0.08055,27.0
HASAA-06ST,HASAA,0.08999,28.0
HASAA-06ST,HASAA,0.10054,29.0
HASAA-06ST,HASAA,0.11424,30.0
HASAA-06ST,HASAA,0.13214,31.0
HASAA-06ST,HASAA,0.14741,32.0
HASAA-06ST,HASAA,0.17428,33.0
HASAA-06ST,HASAA,0.33756,34.69
HASAA-06ST,HASAA,0.42,32.96
HASAA-07ST,HASAA,0.00131,3.0
HASAA-07ST,HASAA,0.00203,4.5
HASAA-07ST,HASAA,0.00328,5.0
HASAA-07ST,HASAA,0.0042,6.0
HASAA-07ST,HASAA,0.00839,7.0
HASAA-07ST,HASAA,0.00977,8.0
HASAA-07ST,HASAA,0.01193,9.0
HASAA-07ST,HASAA,0.01554,10.0
HASAA-07ST,HASAA,0.01711,11.0
HASAA-07ST,HASAA,0.01934,12.0
HASAA-07ST,HASAA,0.02543,13.0
HASAA-07ST,HASAA,0.02609,14.0
HASAA-07ST,HASAA,0.02897,15.0
HASAA-07ST,HASAA,0.03527,16.0
HASAA-07ST,HASAA,0.03651,17.0
HASAA-07ST,HASAA,0.03985,18.0
HASAA-07ST,HASAA,0.04621,19.0
HASAA-07ST,HASAA,0.04949,20.0
HASAA-07ST,HASAA,0.05244,21.0
HASAA-07ST,HASAA,0.05873,22.0
HASAA-07ST,HASAA,0.06384,23.0
HASAA-07ST,HASAA,0.07328,24.0
HASAA-07ST,HASAA,0.07728,25.0
HASAA-07ST,HASAA,0.08842,26.0
HASAA-07ST,HASAA,0.094,27.0
HASAA-07ST,HASAA,0.1071,28.0
HASAA-07ST,HASAA,0.11392,29.0
HASAA-07ST,HASAA,0.13024,30.0
HASAA-07ST,HASAA,0.13647,31.0
HASAA-07ST,HASAA,0.15476,32.0
HASAA-07ST,HASAA,0.17685,33.0
HASAA-07ST,HASAA,0.18465,34.0
HASAA-07ST,HASAA,0.20687,35.0
HASAA-07ST,HASAA,0.33455,36.79
HASAA-07ST,HASAA,0.39,34.95
MEAN_DBLNB,DBLNB,0.00032,1.0
MEAN_DBLNB,DBLNB,0.00048,1.5
