slip_in,load_per_stud_kip,mode,px,py
0.0021,1.626,row,2965.0,4212
0.0022,1.784,row,2965.5,4208
0.0022,1.942,row,2965.5,4204
0.0032,2.101,row,2970.0,4200
0.0034,3.998,row,2971.0,4152
0.0034,4.156,row,2971.0,4148
0.0034,4.314,row,2971.0,4144
0.0036,3.84,row,2972.0,4156
0.0037,5.263,row,2972.0,4120
0.0038,5.105,row,2972.5,4124
0.004,4.789,row,2973.5,4132
0.004,4.947,row,2973.5,4128
0.004,5.421,row,2973.5,4116
0.0044,5.896,row,2975.5,4104
0.0051,5.58,row,2979.0,4112
0.0052,5.738,row,2979.5,4108
0.0056,6.055,row,2981.5,4100
0.0058,6.213,row,2982.0,4096
0.006,6.371,row,2983.0,4092
0.0062,6.53,row,2984.0,4088
0.0066,7.163,row,2986.0,4072
0.0066,7.321,row,2986.0,4068
0.0066,7.479,row,2986.0,4064
0.0068,7.638,row,2987.0,4060
0.0073,7.796,row,2989.5,4056
0.0082,7.955,row,2993.5,4052
0.0096,8.115,row,3000.5,4048
0.0101,8.274,row,3003.0,4044
0.0101,8.907,row,3003.0,4028
0.0101,9.065,row,3003.0,4024
0.0102,9.224,row,3003.5,4020
0.0105,9.382,row,3004.5,4016
0.0108,9.541,row,3006.0,4012
0.0152,11.677,row,3027.5,3960
0.0157,11.843,row,3030.0,3956
0.0163,12.009,row,3032.5,3952
0.0167,12.175,row,3034.5,3948
0.0173,12.341,row,3037.5,3944
0.0178,12.507,row,3040.0,3940
0.0182,12.838,row,3042.0,3932
0.0183,12.673,row,3042.5,3936
0.0201,13.17,row,3051.0,3924
0.0216,13.337,row,3058.5,3920
0.0219,13.502,row,3060.0,3916
0.0222,13.668,row,3061.5,3912
0.0226,13.834,row,3063.5,3908
0.0243,14.331,row,3071.5,3896
0.0257,14.497,row,3078.5,3892
0.0265,14.662,row,3082.0,3888
0.0274,14.828,row,3086.5,3884
0.0275,14.849,col,3087,3883.5
0.03,15.304,col,3099,3872.5
0.0324,15.698,col,3111,3863.0
0.0351,16.132,col,3124,3852.5
0.0376,16.442,col,3136,3845.0
0.04,16.752,col,3148,3837.5
0.0425,17.041,col,3160,3830.5
0.0449,17.33,col,3172,3823.5
0.0476,17.598,col,3185,3817.0
0.0526,18.072,col,3209,3805.5
0.055,18.401,col,3221,3797.5
0.06,18.689,col,3245,3790.5
0.0625,18.833,col,3257,3787.0
0.065,19.017,col,3269,3782.5
0.0675,19.181,col,3281,3778.5
0.0699,19.304,col,3293,3775.5
0.0724,19.427,col,3305,3772.5
0.0749,19.55,col,3317,3769.5
0.0774,19.795,col_on_gridline,3329,3763.5
0.0801,19.856,col_on_gridline,3342,3762.0
0.09,20.158,col_on_gridline,3390,3754.5
0.0925,20.198,col_on_gridline,3402,3753.5
0.095,20.418,col,3414,3748.0
0.0974,20.498,col,3426,3746.0
0.1025,20.657,col,3451,3742.0
0.1049,20.737,col,3463,3740.0
0.1075,20.816,col,3476,3738.0
0.1099,20.896,col,3488,3736.0
0.1125,20.976,col,3501,3734.0
0.1149,21.035,col,3513,3732.5
0.1175,21.155,col,3526,3729.5
0.1199,21.194,col,3538,3728.5
0.1225,21.274,col,3551,3726.5
0.1249,21.353,col,3563,3724.5
0.1275,21.433,col,3576,3722.5
0.1299,21.493,col,3588,3721.0
0.1325,21.552,col,3601,3719.5
0.1349,21.612,col,3613,3718.0
0.1375,21.671,col,3626,3716.5
0.1399,21.731,col,3638,3715.0
0.1425,21.79,col,3651,3713.5
0.145,21.87,col,3663,3711.5
0.1476,21.909,col,3676,3710.5
0.1526,22.028,col,3701,3707.5
0.1551,22.088,col,3713,3706.0
0.1575,22.107,col,3725,3705.5
0.16,22.167,col,3737,3704.0
0.1627,22.246,col,3750,3702.0
0.1651,22.265,col,3762,3701.5
0.1676,22.345,col,3774,3699.5
0.17,22.384,col,3786,3698.5
0.1727,22.424,col,3799,3697.5
0.1751,22.483,col,3811,3696.0
0.1776,22.523,col,3823,3695.0
0.1801,22.582,col,3835,3693.5
0.1827,22.622,col,3848,3692.5
0.1852,22.661,col,3860,3691.5
0.1876,22.72,col,3872,3690.0
0.1901,22.76,col,3884,3689.0
0.1926,22.819,col,3896,3687.5
0.1952,22.859,col,3909,3686.5
0.1977,22.918,col,3921,3685.0
0.2026,22.977,col,3945,3683.5
0.2052,23.036,col,3958,3682.0
0.2076,23.056,col,3970,3681.5
0.2101,23.095,col,3982,3680.5
0.2127,23.134,col,3995,3679.5
0.2151,23.174,col,4007,3678.5
0.2176,23.193,col,4019,3678.0
0.22,23.212,col,4031,3677.5
0.2226,23.232,col,4044,3677.0
0.2299,23.49,col,4080,3670.5
0.2325,23.349,col,4093,3674.0
0.235,23.389,col,4105,3673.0
0.2374,23.408,col,4117,3672.5
0.2398,23.427,col,4129,3672.0
0.2424,23.447,col,4142,3671.5
0.2449,23.466,col,4154,3671.0
0.2473,23.485,col,4166,3670.5
0.2524,23.544,col,4191,3669.0
0.2549,23.563,col,4203,3668.5
0.2574,23.583,col,4215,3668.0
0.2599,23.602,col,4227,3667.5
0.2624,23.641,col,4239,3666.5
0.2649,23.641,col,4251,3666.5
0.2673,23.66,col,4263,3666.0
0.2698,23.679,col,4275,3665.5
0.2723,23.679,col,4287,3665.5
0.2748,23.718,col,4299,3664.5
0.2773,23.737,col,4311,3664.0
