px,py,px_open,py_open,area_px,core_px,x_local,y_local,x_affine,y_affine,x_open_centroid,y_open_centroid
707.7,5539.7,707.7,5539.8,849,71,0.0759,4.145,0.0857,4.345,0.0759,4.14
738.5,5442.0,738.5,5442.0,792,55,0.2095,8.369,0.2164,8.294,0.2095,8.369
777.0,5364.5,777.0,5364.5,746,46,0.3755,11.603,0.3781,11.423,0.3755,11.603
802.0,5301.9,802.0,5301.8,766,50,0.4834,14.129,0.4835,13.953,0.4834,14.133
831.3,5245.0,831.1,5244.8,831,62,0.6095,16.419,0.6064,16.25,0.6087,16.428
880.0,5200.7,880.0,5200.6,741,44,0.8181,18.19,0.8087,18.034,0.8181,18.194
912.8,5157.5,912.7,5157.5,680,26,0.9587,19.919,0.9455,19.776,0.9583,19.919
945.8,5127.7,945.8,5127.7,700,34,1.0965,21.097,1.0826,20.975,1.0965,21.097
1025.7,5081.0,1025.8,5081.0,774,51,1.4271,22.93,1.4135,22.849,1.4275,22.93
1094.4,5049.7,1094.4,5049.7,792,57,1.7118,24.153,1.6976,24.102,1.7118,24.153
1165.5,5000.0,1165.5,4999.9,797,59,2.0081,26.112,1.9923,26.1,2.0081,26.116
1243.9,4985.5,1243.9,4985.5,766,50,2.3296,26.659,2.3157,26.67,2.3296,26.659
1309.4,4967.8,1309.6,4967.8,816,56,2.5985,27.34,2.5862,27.373,2.5993,27.34
1391.9,4948.2,1392.0,4948.2,801,55,2.9368,28.091,2.9266,28.149,2.9373,28.091
1460.6,4931.6,1460.6,4931.6,801,59,3.217,28.727,3.2102,28.807,3.217,28.727
1534.7,4922.6,1534.7,4922.7,784,54,3.5182,29.057,3.5157,29.156,3.5181,29.053
1634.8,4903.0,1634.8,4903.0,852,72,3.9251,29.801,3.9286,29.929,3.9251,29.801
1722.0,4892.2,1722.0,4892.2,795,57,4.2798,30.203,4.2881,30.348,4.2798,30.203
1809.5,4889.1,1809.5,4889.1,806,60,4.6356,30.295,4.6485,30.455,4.6356,30.295
1931.3,4872.7,1931.3,4872.8,812,60,5.1335,30.923,5.1507,31.093,5.1335,30.919
2054.8,4860.1,2054.8,4860.0,784,55,5.6442,31.395,5.6597,31.578,5.6442,31.399
2231.1,4866.3,2231.1,4866.3,799,59,6.3879,31.067,6.3854,31.29,6.3879,31.067
