px,py,px_open,py_open,area_px,core_px,x_local,y_local,x_affine,y_affine,x_open_centroid,y_open_centroid
761.2,4171.4,761.2,4171.3,788,55,0.1236,4.477,0.1511,4.498,0.1236,4.481
788.5,4082.5,788.4,4082.5,816,60,0.241,8.206,0.2622,8.114,0.2406,8.206
839.4,3935.2,839.5,3935.2,828,64,0.4589,14.131,0.4694,14.105,0.4593,14.131
901.3,3819.3,901.3,3819.4,816,62,0.7224,18.719,0.7219,18.819,0.7224,18.715
963.3,3744.5,963.5,3744.5,780,52,0.9857,21.755,0.9752,21.862,0.9865,21.755
1050.7,3669.6,1050.7,3669.6,766,48,1.3444,24.849,1.3326,24.909,1.3444,24.849
1118.7,3618.4,1118.7,3618.5,786,54,1.6234,26.961,1.6107,26.992,1.6234,26.957
1205.5,3564.7,1205.5,3564.5,756,44,1.9799,29.173,1.9658,29.177,1.9799,29.181
1294.3,3520.5,1294.3,3520.5,744,45,2.3433,30.984,2.3292,30.976,2.3433,30.984
1413.7,3483.8,1413.9,3483.8,756,46,2.8314,32.482,2.818,32.47,2.8322,32.482
1563.0,3457.1,1563.0,3457.0,817,62,3.4404,33.567,3.4294,33.558,3.4404,33.572
1676.2,3450.6,1676.2,3450.6,799,58,3.9018,33.827,3.893,33.824,3.9018,33.827
1821.9,3441.7,1821.9,3441.7,798,60,4.4898,34.184,4.4898,34.187,4.4898,34.184
1986.8,3433.5,1986.8,3433.4,858,75,5.157,34.51,5.1652,34.523,5.1569,34.514
2130.7,3428.5,2130.7,3428.5,797,58,5.7483,34.706,5.7546,34.728,5.7483,34.706
2366.9,3433.7,2367.0,3433.7,822,66,6.7089,34.48,6.7223,34.52,6.7093,34.48
