px,py,px_open,py_open,area_px,core_px,x_local,y_local,x_affine,y_affine,x_open_centroid,y_open_centroid
761.4,1061.0,761.2,1061.0,552,8,1.8198,0.69,1.7746,0.69,1.7955,0.69
796.8,922.6,796.8,922.6,616,18,6.2005,0.831,6.1423,0.832,6.2005,0.831
842.0,871.7,842.0,871.8,610,18,11.7079,0.883,11.6934,0.884,11.7078,0.883
908.4,848.0,908.3,848.0,617,19,19.7654,0.907,19.8376,0.908,19.7533,0.907
1033.8,803.0,1033.7,803.0,620,20,35.0411,0.953,35.2184,0.954,35.0288,0.953
1131.9,780.7,1131.9,780.6,629,21,47.1056,0.976,47.2481,0.977,47.1056,0.976
1179.7,753.4,1179.7,753.4,636,22,52.9809,1.003,53.113,1.005,52.9809,1.003
1341.5,741.5,1341.5,741.5,640,24,72.9776,1.016,72.949,1.017,72.9776,1.016
1478.9,722.1,1478.9,722.1,629,21,90.0133,1.036,89.7955,1.036,90.0133,1.036
1619.2,684.0,1619.3,684.0,620,20,107.0153,1.075,107.0013,1.075,107.0274,1.075
1776.5,660.6,1776.6,660.6,621,18,126.143,1.099,126.288,1.099,126.1553,1.099
1931.7,620.1,1931.7,619.8,700,30,145.1871,1.141,145.3208,1.14,145.1871,1.141
2090.9,587.6,2090.9,587.6,619,19,164.7326,1.174,164.8423,1.174,164.7326,1.174
2261.9,553.0,2261.9,553.1,629,21,185.802,1.209,185.8106,1.209,185.8019,1.209
