figure,specimen,drawing_index,pdf_x_pt,pdf_y_pt,slip_in,total_load_kip
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,147.676,512.915,0.00554,48.1
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,147.676,512.166,0.00554,49.018
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,147.676,511.418,0.00554,49.937
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,147.676,510.67,0.00554,50.856
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,147.676,509.922,0.00554,51.774
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,148.425,509.922,0.00658,51.774
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,147.676,509.922,0.00554,51.774
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,148.425,509.922,0.00658,51.774
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,148.425,509.174,0.00658,52.693
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,148.425,508.426,0.00658,53.611
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,148.425,507.677,0.00658,54.53
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,148.425,506.929,0.00658,55.449
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,148.425,506.181,0.00658,56.367
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,149.174,506.181,0.00761,56.367
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,149.174,505.433,0.00761,57.286
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,149.174,504.685,0.00761,58.205
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,149.174,503.936,0.00761,59.123
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,149.174,503.188,0.00761,60.042
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,149.174,502.44,0.00761,60.961
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,149.174,501.692,0.00761,61.879
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,149.174,500.944,0.00761,62.798
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,149.923,500.944,0.00864,62.798
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,149.923,500.196,0.00864,63.717
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,149.923,499.447,0.00864,64.635
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,149.923,498.699,0.00864,65.554
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,149.923,497.951,0.00864,66.473
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,149.923,497.203,0.00864,67.391
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,149.923,496.455,0.00864,68.31
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,149.923,495.706,0.00864,69.228
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,150.672,495.706,0.00968,69.228
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,150.672,494.958,0.00968,70.147
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,150.672,494.21,0.00968,71.066
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,150.672,493.462,0.00968,71.984
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,150.672,492.714,0.00968,72.903
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,150.672,491.966,0.00968,73.822
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,150.672,491.217,0.00968,74.74
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,150.672,490.469,0.00968,75.659
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,150.672,489.721,0.00968,76.578
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,150.672,488.973,0.00968,77.496
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,151.421,488.973,0.01071,77.496
